PLAYER_ID,LEAGUE_ID,LEAGUE_NAME,SEASON,FGM,PLAYER_GAMES,TM_GAMES,FGA,TPM,TPA,FTM,FTA,PERSONAL_FOULS,BLOCKS,MP,STEALS,ASSISTS,OREB,DREB,TURNOVERS,TM_MINUTES,TM_FGA,TM_FTA,TM_TURNOVERS,TM_FGM,TM_TPM,TM_TPA,TM_FTM,TM_BLOCKS,TM_STEALS,TM_ASSISTS,TM_OREB,TM_DREB,OPP_FGA,OPP_FTA,OPP_TURNOVERS,OPP_FGM,OPP_TPM,OPP_TPA,OPP_FTM,OPP_BLOCKS,OPP_STEALS,OPP_ASSISTS,OPP_OREB,OPP_DREB,FGM_30,FGA_30,TPM_30,TPA_30,FTM_30,FTA_30,FOULS_30,BLOCKS_30,STEALS_30,ASSISTS_30,OREB_30,DREB_30,TOV_30,FG_PCT,TP_PCT,FT_PCT,USG,ASSIST_PCT,BLOCK_PCT,OREB_PCT,DREB_PCT,FTM_RATE,STL_PCT,TOV_PCT
x1,,,2014,58,33,33,120,0,1,29,40,80,9,518,8,9,32,63,28,6600,1729,614,355,841,208,510,452,78,231,466,276,698,1743,564,414,812,221,645,405,115,178,480,330,712,3.359073359,6.94980695,0,0.057915058,1.67953668,2.316602317,4.633204633,0.521235521,0.463320463,0.521235521,1.853281853,3.648648649,1.621621622,0.483333333,0,0.725,0.179253865,0.033084734,0.020887398,0.082534819,0.156167841,0.241666667,0.009879407,0.169082126
x2,,,2014,70,31,31,178,32,86,33,49,56,5,796,26,57,33,95,47,6250,1622,580,422,678,160,452,412,108,188,388,351,660,1672,572,356,766,252,647,404,105,226,515,337,690,2.638190955,6.708542714,1.206030151,3.24120603,1.243718593,1.846733668,2.110552764,0.188442211,0.979899497,2.148241206,1.243718593,3.58040201,1.771356784,0.393258427,0.372093023,0.673469388,0.168400283,0.157567207,0.007660252,0.049780603,0.149632314,0.185393258,0.021130102,0.190622972
x3,,,2014,33,34,34,68,0,1,24,40,105,53,582,10,9,42,71,23,6900,1893,656,414,795,227,679,456,138,206,336,354,847,1879,780,405,750,204,626,546,123,191,394,380,836,1.701030928,3.505154639,0,0.051546392,1.237113402,2.06185567,5.412371134,2.731958763,0.515463918,0.463917526,2.164948454,3.659793814,1.18556701,0.485294118,0,0.6,0.099206806,0.029773463,0.100295374,0.083687083,0.137204984,0.352941176,0.010676507,0.211786372
x4,,,2014,49,29,33,106,4,17,20,39,29,8,349,19,10,21,41,29,6725,1776,724,443,723,216,649,502,111,266,376,374,663,1705,672,539,768,207,604,459,126,212,438,385,788,4.212034384,9.111747851,0.343839542,1.461318052,1.719197708,3.35243553,2.492836676,0.687679083,1.633237822,0.859598854,1.805157593,3.524355301,2.492836676,0.462264151,0.235294118,0.512820513,0.231089939,0.072148137,0.028002675,0.06964822,0.150771561,0.188679245,0.034133323,0.190588854
x5,,,2014,55,30,32,140,22,66,30,37,55,6,520,7,11,44,76,28,6500,1678,787,423,689,134,429,522,127,113,290,468,788,1668,736,298,689,185,552,517,145,194,358,318,661,3.173076923,8.076923077,1.269230769,3.807692308,1.730769231,2.134615385,3.173076923,0.346153846,0.403846154,0.634615385,2.538461538,4.384615385,1.615384615,0.392857143,0.333333333,0.810810811,0.188249812,0.049864007,0.01344086,0.097431355,0.171790235,0.214285714,0.008891492,0.151942696
x6,,,2014,243,34,34,540,61,165,157,207,73,7,1261,44,105,37,123,90,6900,1893,656,414,795,227,679,456,138,206,336,354,847,1879,780,405,750,204,626,546,123,191,394,380,836,5.78112609,12.84694687,1.451229183,3.925455987,3.735130849,4.924662966,1.736716891,0.166534496,1.046788263,2.498017446,0.880253767,2.926249009,2.141157811,0.45,0.36969697,0.758454106,0.304020586,0.217190908,0.006113796,0.034026616,0.109704527,0.290740741,0.021681521,0.124812781
x7,,,2014,1,10,31,1,0,0,0,0,2,1,18,0,0,2,4,0,6300,1726,592,390,731,205,627,412,118,183,311,326,775,1713,688,370,698,190,577,477,106,183,360,325,750,1.666666667,1.666666667,0,0,0,0,3.333333333,1.666666667,0,0,3.333333333,6.666666667,0,1,,,0.029455329,0,0.061619718,0.130111524,0.254545455,0,0,0
x8,,,2014,47,29,30,100,13,34,35,51,50,3,460,35,44,15,33,35,6025,1686,621,394,742,189,553,414,132,218,378,346,704,1611,660,413,703,204,512,454,75,177,361,315,721,3.065217391,6.52173913,0.847826087,2.217391304,2.282608696,3.326086957,3.260869565,0.195652174,2.282608696,2.869565217,0.97826087,2.152173913,2.282608696,0.47,0.382352941,0.68627451,0.17525809,0.186240933,0.007150769,0.036826128,0.08483381,0.35,0.045974307,0.222306911
x9,,,2014,177,31,31,369,69,176,101,138,87,5,977,42,61,50,102,72,6275,1769,715,412,741,253,770,497,61,175,432,345,767,1701,795,406,764,262,699,532,123,198,444,321,807,5.435005118,11.33060389,2.118730809,5.404298874,3.101330604,4.237461617,2.671443193,0.153531218,1.289662231,1.87308086,1.53531218,3.132036847,2.210849539,0.479674797,0.392045455,0.731884058,0.258247186,0.152554093,0.006409903,0.055752801,0.120426049,0.273712737,0.025288775,0.143506338
x10,,,2014,80,32,33,167,15,53,47,73,58,10,535,17,37,23,40,51,6650,1747,558,386,779,241,619,357,97,144,395,274,704,1844,623,403,810,252,718,417,148,173,459,408,780,4.485981308,9.364485981,0.841121495,2.971962617,2.635514019,4.093457944,3.252336449,0.560747664,0.953271028,2.074766355,1.289719626,2.242990654,2.859813084,0.479041916,0.283018868,0.643835616,0.261420398,0.158555249,0.022077987,0.054248169,0.089423788,0.281437126,0.020234437,0.203902127
