playerid,year1,DRIP_Off_YEAR1,DRIP_Def_YEAR1,year2,DRIP_Off_YEAR2,DRIP_Def_YEAR2,year3,DRIP_Off_YEAR3,DRIP_Def_YEAR3,year4,DRIP_Off_YEAR4,DRIP_Def_YEAR4,year5,DRIP_Off_YEAR5,DRIP_Def_YEAR5,year6,DRIP_Off_YEAR6,DRIP_Def_YEAR6,year7,DRIP_Off_YEAR7,DRIP_Def_YEAR7,year8,DRIP_Off_YEAR8,DRIP_Def_YEAR8,year9,DRIP_Off_YEAR9,DRIP_Def_YEAR9,year10,DRIP_Off_YEAR10,DRIP_Def_YEAR10,year11,DRIP_Off_YEAR11,DRIP_Def_YEAR11
x1,2013,-1.181490821,0.265624661,2014,-0.808940556,0.167964247,2015,-0.848199119,0.236818194,2016,-0.875438846,0.023594388,2017,-0.515426489,-0.173227664,,,,,,,,,,,,,,,,,,
x2,2013,-1.279884869,0.131484714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x3,2017,-1.48911202,0.443565254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x4,2014,-0.771570148,-0.44374325,2017,-0.773478003,-0.482540708,,,,,,,,,,,,,,,,,,,,,,,,,,,
x5,2013,-1.106204761,-0.036795076,2014,-1.136613649,-0.045553701,2015,-0.873675699,-0.20755357,2016,0.313242252,-0.202785626,2018,0.146119394,-0.066333884,2019,1.114011889,-0.399142009,2020,1.22557075,-0.436395324,2021,1.275143411,-0.353846738,2022,1.041557437,-0.633419913,,,,,,
x6,2014,-1.10580553,0.201097345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x7,2014,-0.950021711,0.184048911,2017,-1.035550069,0.025303209,,,,,,,,,,,,,,,,,,,,,,,,,,,
x8,2013,-1.08155166,-0.160592727,2014,-1.013873977,-0.123399488,2015,-1.183135675,0.00349737,2017,-1.242206512,-0.030702127,2018,-1.42987341,-0.027764626,,,,,,,,,,,,,,,,,,
x9,2013,-0.9572255,0.198359941,2014,-1.181584999,-0.002496772,2015,-0.991523551,-0.523534799,2016,-1.142100595,-0.770953222,2017,-1.147473708,-0.826633962,2018,-0.994195318,-0.933251517,,,,,,,,,,,,,,,
x10,2015,-1.256891319,0.207740415,2016,-1.599892527,-0.044706679,,,,,,,,,,,,,,,,,,,,,,,,,,,
x11,2016,-0.099972963,-0.005760664,2017,-0.583858121,-0.525188669,2018,-0.310509487,-0.213222152,2019,-0.911173249,-0.5962819,2020,-0.577220108,-0.711762519,2021,-0.377597457,-0.435225764,2022,-0.403811771,-0.562898532,,,,,,,,,,,,
x12,2018,-0.955953626,-0.183754302,2019,-0.430764844,-0.621292033,,,,,,,,,,,,,,,,,,,,,,,,,,,
x13,2013,-0.949378757,0.298083189,2014,-1.18263163,0.27775339,,,,,,,,,,,,,,,,,,,,,,,,,,,
x14,2013,-0.733551609,-0.458355612,2014,-0.807824645,-0.494944663,2015,-0.864678539,-0.741113697,2016,-1.403463249,-1.083976719,2017,-1.240907287,-1.176079444,2018,-0.8476736,-0.916914318,,,,,,,,,,,,,,,
x15,2013,-1.011652888,0.257864166,2014,-0.413068035,0.015496197,2015,-0.846871363,-0.004310677,2016,-0.412541757,0.337406805,2017,-1.008550196,-0.15749439,2018,-0.829599029,-0.133754399,2019,-1.079180873,-0.252825617,2020,-0.672521067,-0.464791877,2021,-0.576943194,-0.653275422,,,,,,
x16,2017,-0.581515265,0.154782127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x17,2014,-1.244783656,-0.701165776,2015,-1.470635423,-0.855115765,2016,-1.314706028,-0.562187861,,,,,,,,,,,,,,,,,,,,,,,,
