Pick,Smoothed Value,Raw Average Value,Pick Trade Value
1,7.78,10.76,10.76
2,7.29,5.79,7.29
3,6.82,7.48,6.82
4,6.37,6.54,6.37
5,5.94,7.06,5.94
6,5.53,3.11,5.53
7,5.14,4.1,5.14
8,4.77,3.36,4.77
9,4.43,5.17,4.43
10,4.11,4.72,4.11
11,3.81,2.77,3.81
12,3.53,1.97,3.53
13,3.27,3.7,3.27
14,3.02,2.38,3.02
15,2.79,2.44,2.79
16,2.58,2.04,2.58
17,2.41,2.65,2.41
18,2.28,2.74,2.28
19,2.16,1.76,2.16
20,2.06,0.97,2.06
21,1.97,3.19,1.97
22,1.88,1.76,1.88
23,1.78,2.01,1.78
24,1.68,3.21,1.68
25,1.58,1.12,1.58
26,1.49,1.59,1.49
27,1.41,1.81,1.41
28,1.33,1.26,1.33
29,1.26,1.11,1.26
30,1.19,1.71,1.19
31,1.12,0.35,1.12
32,1.06,0.55,1.06
33,1,0.66,1
34,0.95,0.5,0.95
35,0.91,1.48,0.91
36,0.86,0.42,0.86
37,0.82,1.3,0.82
38,0.78,0.46,0.78
39,0.74,0.61,0.74
40,0.71,0.77,0.71
41,0.68,1.02,0.68
42,0.66,0.55,0.66
43,0.64,0.71,0.64
44,0.61,0.29,0.61
45,0.58,1.29,0.58
46,0.55,1.44,0.55
47,0.52,1.1,0.52
48,0.49,0.72,0.49
49,0.47,0.16,0.47
50,0.44,0.19,0.44
51,0.42,0.03,0.42
52,0.39,0.19,0.39
53,0.37,0.6,0.37
54,0.34,0.26,0.34
55,0.31,0.18,0.31
56,0.28,0.18,0.28
57,0.26,0.6,0.26
58,0.23,-0.03,0.23
59,0.2,-0.03,0.2
60,0.17,0.44,0.17
